Location, month, day, year, average temp, max temp, min temp
Grand Rapids, 01, 01, 1945, 23.5, 33.1, 15.1
Grand Rapids, 01, 02, 1945, 10.5, 14.0, 9.0
Grand Rapids, 01, 03, 1945, 14.4, 23.0, 3.0
Grand Rapids, 01, 04, 1945, 13.7, 17.1, 12.0
Grand Rapids, 01, 05, 1945, 11.1, 15.1, 8.1
Grand Rapids, 01, 06, 1945, 8.5, 15.1, 6.1
Grand Rapids, 01, 07, 1945, 15.9, 19.9, 12.9
Grand Rapids, 01, 08, 1945, 24.6, 27.0, 17.1
Grand Rapids, 01, 09, 1945, 12.4, 21.0, 9.0
Grand Rapids, 01, 10, 1945, 11.3, 18.0, 6.1
Grand Rapids, 01, 11, 1945, 14.6, 21.9, 3.9
Grand Rapids, 01, 12, 1945, 32.1, 37.9, 24.1
Grand Rapids, 01, 13, 1945, 22.4, 28.9, 16.0
Grand Rapids, 01, 14, 1945, 17.9, 21.9, 15.1
Grand Rapids, 01, 15, 1945, 21.9, 25.0, 19.9
Grand Rapids, 01, 16, 1945, 19.6, 23.0, 15.1
Grand Rapids, 01, 17, 1945, 9.5, 27.0, -5.1
Grand Rapids, 01, 18, 1945, 22.2, 28.9, 16.0
Grand Rapids, 01, 19, 1945, 28.0, 28.9, 26.1
Grand Rapids, 01, 20, 1945, 26.2, 30.0, 25.0
Grand Rapids, 01, 21, 1945, 26.1, 28.9, 24.1
Grand Rapids, 01, 22, 1945, 29.5, 33.1, 26.1
Grand Rapids, 01, 23, 1945, 24.9, 28.9, 19.9
Grand Rapids, 01, 24, 1945, 25.5, 32.0, 17.1
Grand Rapids, 01, 25, 1945, 12.5, 16.0, 9.0
Grand Rapids, 01, 26, 1945, 16.0, 19.9, 14.0
Grand Rapids, 01, 27, 1945, 18.6, 28.9, 10.0
Grand Rapids, 01, 28, 1945, 26.0, 30.0, 19.0
Grand Rapids, 01, 29, 1945, 22.8, 26.1, 19.0
Grand Rapids, 01, 30, 1945, 13.9, 19.0, 10.9
Grand Rapids, 01, 31, 1945, 11.1, 19.9, 1.0
Grand Rapids, 02, 01, 1945, 18.4, 25.0, 15.1
Grand Rapids, 02, 02, 1945, 21.0, 27.0, 19.0
Grand Rapids, 02, 03, 1945, 15.8, 27.0, -2.9
Grand Rapids, 02, 04, 1945, 21.3, 25.0, 17.1
Grand Rapids, 02, 05, 1945, 21.2, 30.0, 7.0
Grand Rapids, 02, 06, 1945, 27.3, 28.9, 26.1
Grand Rapids, 02, 07, 1945, 26.3, 28.0, 25.0
Grand Rapids, 02, 08, 1945, 26.4, 30.0, 25.0
Grand Rapids, 02, 09, 1945, 27.4, 35.1, 17.1
Grand Rapids, 02, 10, 1945, 30.2, 35.1, 23.0
Grand Rapids, 02, 11, 1945, 26.8, 33.1, 21.0
Grand Rapids, 02, 12, 1945, 29.6, 37.9, 16.0
Grand Rapids, 02, 13, 1945, 25.8, 30.0, 23.0
Grand Rapids, 02, 14, 1945, 30.8, 42.1, 23.0
Grand Rapids, 02, 15, 1945, 35.6, 41.0, 30.0
Grand Rapids, 02, 16, 1945, 29.1, 39.0, 21.0
Grand Rapids, 02, 17, 1945, 14.7, 21.0, 10.0
Grand Rapids, 02, 18, 1945, 14.8, 19.0, 12.0
Grand Rapids, 02, 19, 1945, 18.0, 26.1, 10.0
Grand Rapids, 02, 20, 1945, 24.3, 30.9, 19.9
Grand Rapids, 02, 21, 1945, 30.0, 36.0, 25.0
Grand Rapids, 02, 22, 1945, 35.3, 44.1, 30.0
Grand Rapids, 02, 23, 1945, 29.3, 30.9, 28.0
Grand Rapids, 02, 24, 1945, 33.3, 44.1, 24.1
Grand Rapids, 02, 25, 1945, 35.9, 46.0, 27.0
Grand Rapids, 02, 26, 1945, 30.9, 46.0, 19.9
Grand Rapids, 02, 27, 1945, 22.4, 30.0, 19.0
Grand Rapids, 02, 28, 1945, 27.7, 37.9, 21.9
Grand Rapids, 03, 01, 1945, 33.5, 46.9, 27.0
Grand Rapids, 03, 02, 1945, 39.4, 42.1, 37.0
Grand Rapids, 03, 03, 1945, 36.0, 46.0, 30.0
Grand Rapids, 03, 04, 1945, 29.6, 45.0, 19.9
Grand Rapids, 03, 05, 1945, 43.7, 63.0, 33.1
Grand Rapids, 03, 06, 1945, 34.7, 52.0, 28.9
Grand Rapids, 03, 07, 1945, 25.8, 34.0, 17.1
Grand Rapids, 03, 08, 1945, 27.0, 37.0, 19.0
Grand Rapids, 03, 09, 1945, 33.7, 45.0, 24.1
Grand Rapids, 03, 10, 1945, 34.5, 42.1, 28.0
Grand Rapids, 03, 11, 1945, 32.5, 46.0, 19.9
Grand Rapids, 03, 12, 1945, 41.8, 48.9, 32.0
Grand Rapids, 03, 13, 1945, 38.4, 55.9, 24.1
Grand Rapids, 03, 14, 1945, 50.0, 68.0, 37.0
Grand Rapids, 03, 15, 1945, 55.1, 69.1, 43.0
Grand Rapids, 03, 16, 1945, 56.9, 71.1, 43.0
Grand Rapids, 03, 17, 1945, 61.9, 70.0, 50.0
Grand Rapids, 03, 18, 1945, 48.5, 66.0, 32.0
Grand Rapids, 03, 19, 1945, 60.4, 69.1, 57.0
Grand Rapids, 03, 20, 1945, 45.4, 55.0, 39.0
Grand Rapids, 03, 21, 1945, 42.2, 53.1, 33.1
Grand Rapids, 03, 22, 1945, 40.8, 57.9, 26.1
Grand Rapids, 03, 23, 1945, 52.6, 68.0, 42.1
Grand Rapids, 03, 24, 1945, 54.1, 72.0, 39.9
Grand Rapids, 03, 25, 1945, 61.9, 77.0, 50.0
Grand Rapids, 03, 26, 1945, 63.7, 71.1, 59.0
Grand Rapids, 03, 27, 1945, 62.2, 81.0, 45.0
Grand Rapids, 03, 28, 1945, 68.6, 73.9, 63.0
Grand Rapids, 03, 29, 1945, 49.5, 64.0, 44.1
Grand Rapids, 03, 30, 1945, 48.1, 63.0, 37.9
Grand Rapids, 03, 31, 1945, 52.4, 61.0, 45.0
